ResumeID,Cleaned_Skills
R000995,"NLP, SQL"
R000996,"Tableau, Excel"
R000997,"Cloud, MLOps, Computer Vision, TensorFlow, PyTorch, Keras"
R000998,"SQL, Tableau, Reporting, Excel, Power BI"
R000999,"Machine Learning, Deep Learning, Pandas, SQL"
R001000,"Keras, Cloud, MLOps, TensorFlow, PyTorch, Computer Vision"
R001001,"Scrum, Product Roadmap"
R001002,"Agile, Scrum, Product Roadmap"
R001003,"Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap"
R001004,"Agile, Product Roadmap"
R001005,"Docker, System Design"
R001006,"Git, Agile, Spring Boot, REST APIs, Java"
R001007,"Python, PyTorch"
R001008,"Python, MLOps"
R001009,"Agile, Scrum, Stakeholder Management"
R001010,"Agile, System Design, Git, Spring Boot, REST APIs"
R001011,"Python, Cloud"
R001012,"Pandas, Deep Learning, Machine Learning"
R001013,"Git, Spring Boot"
R001014,"Statistics, SQL, Python, NLP"
R001015,"Agile, Scrum, Product Roadmap, Stakeholder Management, User Stories"
R001016,"Python, Machine Learning, Deep Learning"
R001017,"Computer Vision, Keras, MLOps, Python, PyTorch"
R001018,"Data Cleaning, Power BI, SQL, Reporting, Tableau"
R001019,"Deep Learning, Machine Learning, SQL, Pandas, Python, Statistics"
R001020,SQL
R001021,"SQL, Deep Learning, NLP, Statistics, Python, Machine Learning"
R001022,"SQL, Statistics, Python"
R001023,"Statistics, NLP, Python, Pandas, Deep Learning"
R001024,"User Stories, Stakeholder Management"
R001025,"Pandas, Python"
R001026,"SQL, Tableau, Power BI, Reporting, Excel"
R001027,"REST APIs, Java, Spring Boot, Docker"
R001028,"Agile, Product Roadmap, User Stories"
R001029,"Stakeholder Management, User Stories"
R001030,"Computer Vision, TensorFlow"
R001031,"User Stories, Stakeholder Management, Agile, Product Roadmap, Scrum"
R001032,"Machine Learning, Python, Pandas, Deep Learning, Statistics"
R001033,"Excel, Power BI, Tableau"
R001034,"Docker, Java"
R001035,"Pandas, Machine Learning, Deep Learning, SQL"
R001036,"Deep Learning, SQL, Statistics, NLP, Python"
R001037,"Keras, TensorFlow, Computer Vision, MLOps, Cloud, PyTorch"
R001038,"Reporting, SQL, Tableau, Data Cleaning, Power BI"
R001039,"PyTorch, Computer Vision, TensorFlow"
R001040,"Scrum, Agile"
R001041,"Python, Pandas, Statistics, Deep Learning, Machine Learning"
R001042,"Statistics, SQL, Machine Learning, Python, Pandas, NLP"
R001043,"System Design, Agile, Git, Docker, Spring Boot"
R001044,"Reporting, Excel, Data Cleaning, SQL"
R001045,"Python, Computer Vision, PyTorch, TensorFlow"
R001046,"Cloud, TensorFlow"
R001047,"Agile, Product Roadmap, Stakeholder Management, Scrum"
R001048,"User Stories, Product Roadmap"
R001049,"Statistics, Pandas, Machine Learning"
R001050,"Deep Learning, Pandas, NLP, Statistics, Machine Learning"
R001051,"Excel, Tableau, Data Cleaning, Power BI"
R001052,"Power BI, Data Cleaning, SQL, Tableau, Reporting"
R001053,"Tableau, SQL, Data Cleaning, Reporting"
R001054,"SQL, Python"
R001055,"Scrum, Product Roadmap, Stakeholder Management"
R001056,"Scrum, Stakeholder Management, User Stories"
R001057,"System Design, Java, Git, Spring Boot, REST APIs"
R001058,"REST APIs, Docker, Git"
R001059,"SQL, Power BI"
R001060,"Reporting, Power BI, Excel, Data Cleaning"
R001061,"Excel, Tableau, Power BI, Reporting"
R001062,"SQL, Statistics, Deep Learning, Python, Pandas"
R001063,"Product Roadmap, User Stories, Stakeholder Management, Agile, Scrum"
R001064,"Agile, System Design, Spring Boot"
R001065,"Tableau, Reporting, Excel"
R001066,"TensorFlow, Keras, PyTorch"
R001067,"Scrum, Agile, Product Roadmap, Stakeholder Management"
R001068,"User Stories, Product Roadmap, Agile, Stakeholder Management, Scrum"
R001069,"NLP, SQL, Pandas, Deep Learning"
R001070,"Agile, Docker"
R001071,"Reporting, Power BI, Data Cleaning, Excel"
R001072,"Deep Learning, SQL, NLP, Pandas, Statistics"
R001073,"Data Cleaning, Excel"
R001074,"Git, REST APIs, System Design"
R001075,"Stakeholder Management, User Stories"
R001076,"System Design, Agile, Java, Spring Boot"
R001077,"SQL, Python, NLP"
R001078,"Tableau, Reporting, SQL, Excel"
R001079,"Scrum, Agile, Stakeholder Management, User Stories"
R001080,"Reporting, Tableau, Data Cleaning, SQL, Excel, Power BI"
R001081,"Tableau, Excel, Reporting, Data Cleaning, Power BI"
R001082,"SQL, Pandas, Statistics, NLP"
R001083,"Product Roadmap, Scrum"
R001084,"Computer Vision, PM, Python, MLOps"
R001085,"Cloud, Python"
R001086,"Java, Agile, Git, REST APIs"
R001087,"Python, NLP, SQL, Statistics, Pandas"
R001088,"SQL, Data Cleaning"
R001089,"SQL, Deep Learning, Pandas, Machine Learning, Python, NLP"
R001090,Reporting
R001091,"Agile, REST APIs, Git, Spring Boot"
R001092,"Machine Learning, Pandas"
R001093,"Product Roadmap, Stakeholder Management, Scrum"
R001094,"NLP, SQL, Python, Machine Learning"
R001095,"Pandas, NLP, Deep Learning, Python, SQL, Machine Learning"
R001096,"Python, Statistics, Pandas"
R001097,"Tableau, Power BI, Reporting, Excel, SQL"
R001098,"Agile, Scrum"
R001099,"Git, Spring Boot, Agile"
R001100,"Machine Learning, SQL, Python"
R001101,"Spring Boot, Agile, REST APIs, Git, Java"
R001102,"NLP, Python, Deep Learning, Pandas"
R001103,"Product Roadmap, User Stories"
R001104,"REST APIs, System Design, Java, Git"
R001105,"Agile, Docker, Java, Git, Spring Boot"
R001106,"Git, Docker, REST APIs, Spring Boot, Agile, Java"
R001107,"Keras, TensorFlow, PyTorch, Computer Vision, Cloud"
R001108,"Power BI, Reporting, Excel"
R001109,"SQL, Data Cleaning, Tableau, Excel, Power BI, Reporting"
R001110,"NLP, Deep Learning, Pandas"
R001111,"Tableau, Excel, SQL, Reporting, Power BI, Data Cleaning"
R001112,"System Design, Spring Boot, Git"
R001113,Power BI
R001114,"Stakeholder Management, Agile, User Stories"
R001115,"Python, MLOps, Cloud, PyTorch, Computer Vision"
R001116,"Spring Boot, Java, Agile, Docker"
R001117,Pandas
R001118,"Statistics, SQL, Deep Learning, Python, NLP"
R001119,"Pandas, SQL"
R001120,"Stakeholder Management, User Stories"
R001121,"Docker, REST APIs, System Design"
R001122,"TensorFlow, PyTorch, Computer Vision, Keras, Python, MLOps"
R001123,"NLP, Machine Learning, Python, Pandas"
R001124,"Tableau, SQL, Excel, Reporting, Data Cleaning"
R001125,"Python, Deep Learning, NLP, Statistics"
R001126,"Pandas, Deep Learning"
R001127,"Power BI, SQL, Excel, Tableau, Data Cleaning, Reporting"
R001128,"Data Cleaning, Reporting, SQL, Power BI"
R001129,"Docker, Git, Agile, Java, REST APIs"
R001130,"Computer Vision, PyTorch, Cloud"
R001131,"NLP, Machine Learning"
R001132,"Product Roadmap, Agile, Stakeholder Management, Scrum, User Stories"
R001133,"PyTorch, MLOps, Computer Vision, Python"
R001134,"Java, Spring Boot, Docker, Git, System Design"
R001135,"Python, Deep Learning, Pandas"
R001136,"Power BI, Excel, SQL, Data Cleaning"
R001137,"Computer Vision, PyTorch, Python, TensorFlow, Keras"
R001138,"User Stories, Agile, Stakeholder Management"
R001139,"Docker, Git, Agile, Java"
R001140,"Cloud, PyTorch, Computer Vision, Keras, TensorFlow"
R001141,"Reporting, Data Cleaning"
R001142,PyTorch
R001143,"Scrum, Stakeholder Management, Product Roadmap"
R001144,"Python, Statistics, Machine Learning"
R001145,"Reporting, SQL, Tableau"
R001146,"Java, Spring Boot, REST APIs, System Design, Agile"
R001147,"User Stories, Scrum, Agile"
R001148,"Docker, Java, Agile, Git"
R001149,"NLP, Pandas, Machine Learning"
R001150,"Python, Cloud, MLOps, TensorFlow"
R001151,"User Stories, Stakeholder Management, Agile"
R001152,"Reporting, SQL, Data Cleaning, Power BI"
R001153,"Excel, SQL, Data Cleaning"
R001154,"NLP, Pandas"
R001155,"MLOps, Keras, TensorFlow, Python, Cloud"
R001156,"Agile, Scrum, Product Roadmap"
R001157,"Docker, REST APIs, System Design"
R001158,"REST APIs, Java, Agile, Spring Boot, Git, Docker"
R001159,"User Stories, Agile, Product Roadmap"
R001160,"Tableau, Excel, Reporting, Data Cleaning, SQL"
R001161,"Reporting, SQL"
R001162,"Java, System Design"
R001163,"Cloud, Keras, Computer Vision, PyTorch"
R001164,Statistics
R001165,"Agile, Git, System Design, Spring Boot, Java"
R001166,"Python, Machine Learning"
R001167,"SQL, Tableau, Reporting, Power BI"
R001168,Tableau
R001169,"SQL, Power BI"
R001170,"Java, Git, Docker, System Design, Agile, REST APIs"
R001171,"SQL, Pandas, Python, Statistics, NLP"
R001172,"Cloud, MLOps, Keras, PyTorch"
R001173,"PyTorch, Cloud, Keras, MLOps"
R001174,"SQL, NLP, Python"
R001175,"Machine Learning, Python, Statistics, SQL"
R001176,"Tableau, SQL, Reporting, Data Cleaning, Excel"
R001177,"Python, Machine Learning, NLP, SQL, Pandas"
R001178,"REST APIs, System Design, Java"
R001179,"Reporting, Tableau, Excel, Data Cleaning, Power BI"
R001180,"SQL, Deep Learning, Statistics, Pandas, Python"
R001181,"Statistics, Python, Machine Learning, SQL, NLP, Deep Learning"
R001182,"SQL, Excel, Tableau, Power BI, Data Cleaning"
R001183,"NLP, Machine Learning, Deep Learning, Python, Statistics"
R001184,"Agile, User Stories, Stakeholder Management, Scrum"
R001185,"User Stories, Agile, Product Roadmap, Stakeholder Management"
R001186,"Computer Vision, MLOps, Cloud, Python"
R001187,"User Stories, Product Roadmap, Stakeholder Management"
R001188,"Pandas, Python"
R001189,"TensorFlow, Cloud, Computer Vision, PyTorch"
R001190,"Agile, Git"
R001191,"Agile, Scrum"
R001192,"Excel, Power BI, SQL, Reporting, Tableau"
R001193,"Excel, Tableau, Power BI"
R001194,"User Stories, Agile, Stakeholder Management"
R001195,"NLP, Pandas, Machine Learning, Statistics, SQL, Python"
R001196,"Data Cleaning, Reporting, Tableau, Excel"
R001197,"Product Roadmap, User Stories"
R001198,"Data Cleaning, Excel, SQL"
R001199,Excel
R001200,"Machine Learning, Deep Learning, SQL, NLP, Pandas, Statistics"
R001201,"SQL, Statistics, Python"
R001202,"REST APIs, Git, Docker, Java, Spring Boot, System Design"
R001203,"Java, Agile, REST APIs"
R001204,"SQL, Tableau"
R001205,System Design
R001206,"Excel, Power BI, Data Cleaning, Tableau, SQL"
R001207,"Java, System Design, Docker, REST APIs, Spring Boot"
R001208,"Product Roadmap, Stakeholder Management"
R001209,TensorFlow
R001210,"Power BI, Data Cleaning, Tableau"
R001211,"MLOps, Cloud, TensorFlow, Computer Vision"
R001212,"Python, Statistics, Machine Learning"
R001213,"Docker, Java, Git, REST APIs, System Design, Spring Boot"
R001214,"Deep Learning, Statistics, Machine Learning, Python"
R001215,"User Stories, Scrum, Agile, Product Roadmap"
R001216,Java
R001217,"SQL, Data Cleaning, Reporting"
R001218,"Git, REST APIs, Java"
R001219,"PyTorch, Computer Vision, Keras, MLOps"
R001220,"Data Cleaning, Excel, SQL"
R001221,"PyTorch, Cloud, Keras, MLOps, Computer Vision"
R001222,"Power BI, Tableau, Excel"
R001223,"Java, Spring Boot, Git, REST APIs"
R001224,"Agile, REST APIs, Docker, Spring Boot"
R001225,"Pandas, SQL, Statistics"
R001226,"SQL, Reporting, Power BI, Excel, Tableau"
R001227,"SQL, Machine Learning, NLP"
R001228,"Scrum, Product Roadmap"
R001229,"Agile, Stakeholder Management, User Stories, Scrum"
R001230,"Spring Boot, Java, Docker, Agile, Git"
R001231,"Machine Learning, NLP, SQL"
R001232,"Product Roadmap, Scrum"
R001233,"User Stories, Product Roadmap, Stakeholder Management"
R001234,"Deep Learning, Python, SQL, Statistics, Machine Learning, NLP, Pandas"
R001235,"Agile, Stakeholder Management, Scrum"
R001236,"Python, NLP, Statistics, Deep Learning"
R001237,"System Design, Spring Boot, Docker, REST APIs"
R001238,"Keras, Computer Vision, TensorFlow, Cloud"
R001239,"SQL, NLP, Statistics, Deep Learning"
R001240,"REST APIs, System Design"
R001241,"Deep Learning, Statistics, Machine Learning, Pandas, NLP"
R001242,"Reporting, Data Cleaning, Tableau, SQL, Power BI"
R001243,"Power BI, SQL, Excel"
R001244,"Data Cleaning, Power BI, SQL, Excel, Tableau"
R001245,"Power BI, Data Cleaning, SQL, Excel"
R001246,"Java, Docker, Agile"
R001247,"Scrum, Stakeholder Management, User Stories, Agile, Product Roadmap"
R001248,"MLOps, TensorFlow, Cloud, Keras, PyTorch"
R001249,"Agile, Scrum, User Stories"
R001250,"Agile, System Design, REST APIs, Java, Docker"
R001251,"Data Cleaning, Power BI, Excel, Tableau, SQL"
R001252,"MLOps, PyTorch, Cloud, Computer Vision, TensorFlow, Python"
R001253,"NLP, Deep Learning"
R001254,"SQL, Tableau"
R001255,"Stakeholder Management, User Stories, Agile, Product Roadmap"
R001256,"System Design, Agile, Java, Spring Boot"
R001257,"Scrum, Product Roadmap, Agile, User Stories, Stakeholder Management"
R001258,"Power BI, SQL, Data Cleaning, Tableau"
R001259,"Scrum, Stakeholder Management"
R001260,"Machine Learning, Deep Learning, NLP, Python, Pandas, SQL"
R001261,"PyTorch, Cloud, Python, Computer Vision, MLOps"
R001262,"Power BI, Excel, Data Cleaning, SQL, Reporting"
R001263,"MLOps, PyTorch"
R001264,"Cloud, Keras, Python, MLOps"
R001265,"Statistics, Deep Learning, NLP, Pandas, Python, SQL, Machine Learning"
R001266,"Cloud, MLOps"
R001267,"Excel, SQL, Reporting, Power BI"
R001268,"Docker, Spring Boot, Agile, Java, REST APIs"
R001269,"Keras, Computer Vision, Cloud"
R001270,"Tableau, SQL, Reporting, Excel"
R001271,"REST APIs, Agile"
R001272,"Statistics, Python, SQL, Deep Learning, Pandas"
R001273,"Deep Learning, Machine Learning"
R001274,"Keras, Cloud, Computer Vision, MLOps, Python"
R001275,"SQL, Power BI, Reporting, Data Cleaning"
R001276,"Reporting, Power BI"
R001277,"SQL, Reporting, Power BI"
R001278,Statistics
R001279,"System Design, Spring Boot"
R001280,"Python, Statistics, NLP, Deep Learning, SQL, Machine Learning"
R001281,"Spring Boot, System Design, Java, Agile, REST APIs"
R001282,"SQL, Statistics, Deep Learning"
R001283,"NLP, Machine Learning, Deep Learning, Statistics"
R001284,"Power BI, Reporting, SQL, Excel"
R001285,"Pandas, SQL"
R001286,"Agile, Spring Boot, Git, System Design, REST APIs"
R001287,"User Stories, Agile, Product Roadmap, Scrum"
R001288,"Git, Docker, Spring Boot, System Design"
R001289,"Scrum, Agile, User Stories"
R001290,"Deep Learning, SQL, Python, Machine Learning"
R001291,"Python, PyTorch, MLOps, Keras, Computer Vision"
R001292,"TensorFlow, Python, PyTorch, Computer Vision, Keras"
R001293,"Statistics, Deep Learning, SQL, Python, Machine Learning"
R001294,"NLP, SQL, Python, Deep Learning"
R001295,"System Design, Spring Boot, Docker, REST APIs"
R001296,"Keras, Cloud, PyTorch, TensorFlow"
R001297,"Reporting, Tableau, Excel"
R001298,"Python, PyTorch, Cloud, Computer Vision"
R001299,"Stakeholder Management, User Stories"
R001300,"Scrum, User Stories, Agile, Stakeholder Management, Product Roadmap"
R001301,"Excel, Tableau, SQL"
R001302,"Pandas, Statistics"
R001303,"Stakeholder Management, Agile"
R001304,"Power BI, Reporting"
R001305,"Deep Learning, Python, Statistics, SQL"
R001306,"Power BI, Excel, Data Cleaning"
R001307,"Scrum, Product Roadmap, Agile, Stakeholder Management"
R001308,"Spring Boot, System Design"
R001309,"Python, Keras, Cloud, Computer Vision"
R001310,"Data Cleaning, Tableau, Power BI"
R001311,Keras
R001312,"Pandas, SQL, NLP"
R001313,"Stakeholder Management, Agile"
R001314,"Git, Spring Boot, Docker, Agile, System Design, REST APIs"
R001315,"Stakeholder Management, User Stories, Scrum"
R001316,"Power BI, Excel"
R001317,"Agile, System Design, REST APIs, Docker"
R001318,"System Design, REST APIs"
R001319,"Python, TensorFlow, PyTorch, MLOps, Computer Vision"
R001320,"Docker, Git, Java"
R001321,"Computer Vision, PyTorch, Python, Keras, TensorFlow"
R001322,"NLP, Deep Learning"
R001323,"Excel, Power BI, SQL, Tableau"
R001324,"Machine Learning, Statistics, NLP, Pandas"
R001325,"Pandas, SQL, Deep Learning, Machine Learning"
R001326,"Agile, Docker"
R001327,"MLOps, Keras"
R001328,"Computer Vision, PyTorch, Cloud, Python, Keras"
R001329,Product Roadmap
R001330,"Agile, Stakeholder Management, Product Roadmap"
R001331,"NLP, Python"
R001332,"NLP, Statistics, Pandas, SQL, Python"
R001333,"Agile, Product Roadmap, Stakeholder Management"
R001334,"Excel, Power BI, Data Cleaning"
R001335,"Docker, REST APIs, Agile"
R001336,"MLOps, Cloud, PyTorch, Computer Vision, TensorFlow, Keras"
R001337,"Power BI, Reporting, Data Cleaning"
R001338,"Reporting, Excel, Tableau, Power BI"
R001339,"Product Roadmap, Scrum, Stakeholder Management, User Stories, Agile"
R001340,"System Design, Git, REST APIs, Agile"
R001341,"Agile, Stakeholder Management, User Stories, Product Roadmap"
R001342,"Stakeholder Management, Product Roadmap, Scrum"
R001343,"Docker, Agile, Java, REST APIs"
R001344,"User Stories, Scrum, Product Roadmap"
R001345,"Python, PyTorch, Keras"
R001346,"Data Cleaning, SQL, Excel, Tableau"
R001347,"Agile, REST APIs, Docker, Git, Spring Boot"
R001348,"Tableau, Reporting, SQL, Excel"
R001349,"Computer Vision, TensorFlow"
R001350,"Stakeholder Management, User Stories, Scrum, Agile, Product Roadmap"
R001351,"Git, REST APIs, Agile"
R001352,"Stakeholder Management, Product Roadmap, User Stories, Scrum"
R001353,"Agile, Spring Boot, Docker"
R001354,"Keras, PyTorch, Cloud, Computer Vision"
R001355,"Product Roadmap, Scrum, Stakeholder Management"
R001356,"TensorFlow, Python, MLOps, PyTorch, Cloud, Keras, Computer Vision"
R001357,"Python, MLOps, TensorFlow, Computer Vision, Keras"
R001358,"Docker, System Design, Agile, Spring Boot"
R001359,"Git, System Design, Java, Docker, Agile, REST APIs"
R001360,"Product Roadmap, Scrum, Stakeholder Management, Agile, User Stories"
R001361,"SQL, Tableau, Excel, Reporting"
R001362,"Reporting, SQL, Data Cleaning"
R001363,"Deep Learning, Statistics, Machine Learning, NLP, Python, SQL"
R001364,"Deep Learning, Pandas, Python, SQL"
R001365,"Cloud, Python, MLOps"
R001366,"System Design, Docker"
R001367,"Deep Learning, Statistics, Pandas, Python, Machine Learning, NLP"
R001368,"Product Roadmap, Stakeholder Management, Agile"
R001369,"TensorFlow, Cloud"
R001370,"Machine Learning, Deep Learning, NLP, SQL, Statistics"
R001371,"Python, Statistics"
R001372,"MLOps, TensorFlow"
R001373,"Computer Vision, MLOps"
R001374,"Computer Vision, TensorFlow, Keras, Python, PyTorch"
R001375,"NLP, Statistics, Deep Learning, SQL, Machine Learning, Pandas"
R001376,"MLOps, Computer Vision, Python"
R001377,"Deep Learning, Statistics, SQL, Machine Learning, Python"
R001378,"NLP, SQL, Machine Learning, Statistics"
R001379,"Tableau, Data Cleaning, Excel"
R001380,"Java, Spring Boot, Docker"
R001381,"Power BI, SQL, Data Cleaning, Tableau"
R001382,"Stakeholder Management, Scrum, Agile"
R001383,"Product Roadmap, Stakeholder Management, Scrum, User Stories"
R001384,"MLOps, Python, Keras, PyTorch"
R001385,"Spring Boot, REST APIs, System Design, Java"
R001386,"Excel, SQL, Tableau, Power BI"
R001387,"Python, Deep Learning, NLP"
R001388,"Git, Docker, Agile"
R001389,"Statistics, SQL, Machine Learning"
R001390,"Docker, Spring Boot, REST APIs, Java, System Design, Git"
R001391,"Deep Learning, Statistics, NLP, Python, Machine Learning"
R001392,"Spring Boot, Agile, Java, Docker, REST APIs"
R001393,"NLP, Pandas, Deep Learning, Machine Learning, SQL"
R001394,"Computer Vision, Python, PyTorch, MLOps"
R001395,"TensorFlow, MLOps, Cloud, PyTorch"
R001396,"SQL, Excel, Power BI, Data Cleaning, Reporting"
R001397,"User Stories, Scrum, Agile, Stakeholder Management, Product Roadmap"
R001398,"Spring Boot, Java, REST APIs, Docker, Git"
R001399,"Machine Learning, Deep Learning, Statistics, NLP, Pandas"
R001400,"REST APIs, Agile, Docker, Git, Java, System Design"
R001401,"Pandas, SQL, Deep Learning"
R001402,"Deep Learning, Statistics, SQL, Python, Machine Learning"
R001403,Power BI
R001404,"Stakeholder Management, Product Roadmap, Agile"
R001405,"NLP, Pandas, Machine Learning"
R001406,"Python, Deep Learning, Pandas, Statistics"
R001407,"Cloud, Python, Computer Vision, PyTorch, TensorFlow"
R001408,"Power BI, SQL, Tableau, Excel"
R001409,"Data Cleaning, Reporting"
R001410,"User Stories, Product Roadmap, Stakeholder Management, Scrum, Agile"
R001411,"NLP, Statistics, Deep Learning"
R001412,"Python, Computer Vision, MLOps, PyTorch"
R001413,"Stakeholder Management, Agile, Product Roadmap, User Stories"
R001414,"Java, Docker, System Design, Spring Boot"
R001415,"Tableau, Power BI"
R001416,"Computer Vision, Keras, Cloud"
R001417,"Agile, Product Roadmap, Scrum, User Stories, Stakeholder Management"
R001418,"SQL, NLP"
R001419,"Statistics, SQL, Deep Learning, Pandas"
R001420,"Python, Statistics, Pandas, SQL"
R001421,"NLP, SQL, Deep Learning"
R001422,"Product Roadmap, Stakeholder Management"
R001423,"Scrum, Agile, User Stories, Stakeholder Management"
R001424,"MLOps, TensorFlow, Keras"
R001425,"Tableau, Power BI, Reporting, Excel"
R001426,"Machine Learning, NLP, Statistics, Deep Learning, Python, Pandas"
R001427,"Python, TensorFlow, MLOps, PyTorch"
R001428,"Stakeholder Management, User Stories"
R001429,Excel
R001430,"Python, Keras, Computer Vision"
R001431,"Stakeholder Management, Product Roadmap, Agile, Scrum"
R001432,"Statistics, NLP, Machine Learning, Deep Learning"
R001433,"Deep Learning, Machine Learning, Python, Statistics, NLP"
R001434,"Keras, Computer Vision, MLOps, Python, Cloud"
R001435,"Scrum, User Stories, Stakeholder Management, Agile"
R001436,"Agile, Stakeholder Management, User Stories"
R001437,"Java, Git, Spring Boot"
R001438,"User Stories, Agile"
R001439,"Scrum, Product Roadmap, Agile"
R001440,"Deep Learning, Statistics, SQL, Machine Learning"
R001441,"Reporting, Data Cleaning"
R001442,"User Stories, Scrum, Agile, Product Roadmap, Stakeholder Management"
R001443,"Keras, TensorFlow, Computer Vision, Cloud, MLOps"
R001444,"SQL, Power BI, Data Cleaning"
R001445,"REST APIs, Git, System Design"
R001446,"User Stories, Stakeholder Management, Agile, Scrum"
R001447,"Python, Pandas, NLP, Statistics"
R001448,"Deep Learning, Machine Learning, SQL"
R001449,"Spring Boot, Java, Agile, Docker"
R001450,"Agile, Scrum, Stakeholder Management, Product Roadmap, User Stories"
R001451,"Scrum, Product Roadmap, Stakeholder Management"
R001452,"Cloud, Computer Vision, Keras, PyTorch"
R001453,"NLP, Statistics"
R001454,"Scrum, User Stories, Agile, Stakeholder Management"
R001455,"Scrum, User Stories, Product Roadmap"
R001456,"Pandas, SQL, Python, Deep Learning"
R001457,"Reporting, SQL, Excel, Power BI, Tableau"
R001458,"Python, Pandas"
R001459,"Reporting, Excel, Data Cleaning, Tableau"
R001460,"Deep Learning, Python, SQL, Pandas"
R001461,"User Stories, Scrum, Stakeholder Management, Product Roadmap"
R001462,"User Stories, Scrum, Agile"
R001463,"Python, TensorFlow, PyTorch, Keras"
R001464,"NLP, Pandas, Statistics, Python, Machine Learning"
R001465,"NLP, Deep Learning, Python, Pandas"
R001466,"NLP, Python, SQL, Statistics, Pandas, Deep Learning"
R001467,"Machine Learning, Deep Learning, Statistics"
R001468,"TensorFlow, MLOps, Cloud, Python"
R001469,"Stakeholder Management, Scrum, Product Roadmap, User Stories"
R001470,"Git, System Design, Spring Boot, Agile"
R001471,"Python, PyTorch, Cloud, MLOps"
R001472,"Python, NLP"
R001473,"Excel, Tableau, TV"
R001474,"TensorFlow, PyTorch, Computer Vision"
R001475,"Keras, MLOps, TensorFlow, Python"
R001476,"Python, TensorFlow, Keras, Cloud"
R001477,"Product Roadmap, Agile, Scrum"
R001478,"Statistics, NLP, Python, Machine Learning"
R001479,"REST APIs, Git, System Design"
R001480,"NLP, Python, Pandas, Machine Learning, Deep Learning, SQL"
R001481,"SQL, Machine Learning, NLP, Statistics"
R001482,"System Design, Docker, Spring Boot, Java, Agile"
R001483,"Docker, Java, System Design, REST APIs, Spring Boot"
R001484,"User Stories, Scrum, Stakeholder Management"
R001485,"Docker, System Design, Agile, Git, REST APIs"
R001486,"PyTorch, Computer Vision, TensorFlow, Cloud, Python"
R001487,"Agile, Git, Spring Boot, Docker, REST APIs"
R001488,"SQL, Pandas, NLP, Machine Learning"
R001489,"Python, Pandas"
R001490,"Power BI, Excel, Tableau"
R001492,"TensorFlow, Python, PyTorch"
R001493,"SQL, Excel, Reporting, Power BI, Data Cleaning, Tableau"
R001494,"Cloud, Computer Vision"
R001495,"SQL, Power BI, Reporting, Excel"
R001496,"MLOps, Keras, Computer Vision, TensorFlow"
R001497,"Tableau, SQL, Power BI, Excel"
R001498,"TensorFlow, MLOps, Python"
R001499,"Product Roadmap, User Stories, Stakeholder Management"
R001500,"Agile, Stakeholder Management, Product Roadmap"
R001501,"PyTorch, Keras, Python"
R001502,"Keras, Cloud, TensorFlow, Python, Computer Vision, PyTorch, MLOps"
R001503,"Scrum, Agile, User Stories"
R001504,"Stakeholder Management, Scrum, Agile"
R001505,"Docker, Java, System Design, REST APIs"
R001506,"User Stories, Agile, Stakeholder Management, Product Roadmap, Scrum"
R001507,"System Design, REST APIs, Docker, Git"
R001508,"Tableau, Data Cleaning, Excel, Reporting, SQL"
R001509,"Keras, Computer Vision, TensorFlow, PyTorch"
R001510,"Agile, Product Roadmap, User Stories"
R001511,"REST APIs, Git, System Design, Docker, Spring Boot"
R001512,"Python, Computer Vision, Cloud, Keras"
R001513,"Deep Learning, Python, NLP, Statistics"
R001514,"TensorFlow, Keras, MLOps, Python, Cloud"
R001515,"Product Roadmap, Agile, Scrum, User Stories, Stakeholder Management"
R001516,"Stakeholder Management, Product Roadmap, Scrum"
R001517,"System Design, Git, Docker, Agile"
R001518,"Cloud, PyTorch, TensorFlow, Computer Vision"
R001519,"Reporting, Power BI, Data Cleaning, Tableau, Excel"
R001520,"Product Roadmap, Stakeholder Management, Scrum"
R001521,"TensorFlow, Keras, MLOps, PyTorch, Python"
R001522,"Docker, Spring Boot, Agile, System Design, Git"
R001523,"Tableau, Power BI, Reporting, SQL, Data Cleaning"
R001524,"Product Roadmap, User Stories, Stakeholder Management"
R001525,"Deep Learning, Machine Learning, Python, Statistics"
R001526,"Spring Boot, Docker, System Design"
R001527,"Python, NLP, Machine Learning, Pandas, Statistics"
R001528,"Agile, Product Roadmap, Stakeholder Management, User Stories"
R001529,Power BI
R001530,"TensorFlow, Keras, Cloud, PyTorch"
R001531,"Statistics, Python, Machine Learning, Deep Learning, NLP, Pandas"
R001532,"Product Roadmap, Agile"
R001533,"Keras, Cloud, MLOps"
R001534,"User Stories, Stakeholder Management"
R001535,"SQL, Data Cleaning, Reporting, Power BI, Excel"
R001536,"Machine Learning, Pandas, NLP, Statistics"
R001537,"Pandas, Deep Learning, Python, Machine Learning, SQL, Statistics"
R001538,"Keras, TensorFlow, Cloud, Computer Vision, PyTorch, Python"
R001539,"Statistics, Python"
R001540,"NLP, SQL, Pandas, Machine Learning, Python"
R001541,"SQL, NLP, Machine Learning, Pandas"
R001542,"Python, Cloud, TensorFlow, Keras"
R001543,"Computer Vision, Cloud"
R001544,"Stakeholder Management, Agile, User Stories"
R001545,"PyTorch, Cloud, Computer Vision"
R001546,"American, Reporting"
R001547,"Tableau, Reporting, Data Cleaning, SQL, Power BI"
R001548,"Agile, Stakeholder Management, User Stories"
